No,year,month,day,hour,season,PM_City Station,PM_5th Middle School,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,new_wind
1,2010,1,1,0,4,NA,NA,NA,9.4,76,1015.1,13.5,NW,0.8,0,0,0.8
2,2010,1,1,1,4,NA,NA,NA,10.2,83,1015.2,13,cv,0.5,0,0,0.5
3,2010,1,1,2,4,NA,NA,NA,10.4,87,1015,12.5,NW,0.6,0.3,0.3,0.6
4,2010,1,1,3,4,NA,NA,NA,10.2,89,1014.9,12,NW,1.4,0.6,0.9,0.7999999999999999
5,2010,1,1,4,4,NA,NA,NA,10.4,91,1014.6,11.8,NE,0.6,0.7,1.6,0.6
6,2010,1,1,5,4,NA,NA,NA,10.3,91,1014.4,11.7,NW,1.4,0.3,1.9,1.4
7,2010,1,1,6,4,NA,NA,NA,10,90,1014.8,11.6,NW,2.5,0,0,1.1
8,2010,1,1,7,4,NA,NA,NA,10.4,91,1015.3,11.8,NW,3.7,0,0,1.2000000000000002
9,2010,1,1,8,4,NA,NA,NA,10.3,89,1015.3,12.1,NE,1.2,0,0,1.2
10,2010,1,1,9,4,NA,NA,NA,10.5,86,1015.9,12.8,NW,1.2,0,0,1.2
11,2010,1,1,10,4,NA,NA,NA,10.9,83,1016,13.7,NE,0.9,0,0,0.9
12,2010,1,1,11,4,NA,NA,NA,10.8,82,1016,13.8,SE,0.6,0,0,0.6
13,2010,1,1,12,4,NA,NA,NA,10.7,78,1015.3,14.5,NE,0.9,0,0,0.9
14,2010,1,1,13,4,NA,NA,NA,10.9,75,1013.8,15.3,NE,2,0,0,1.1
15,2010,1,1,14,4,NA,NA,NA,10.8,74,1012.3,15.4,NE,3.3,0,0,1.2999999999999998
16,2010,1,1,15,4,NA,NA,NA,10.8,71,1011.6,16.1,NE,4.6,0,0,1.2999999999999998
17,2010,1,1,16,4,NA,NA,NA,11,73,1011.8,15.8,NE,5.3,0,0,0.7000000000000002
18,2010,1,1,17,4,NA,NA,NA,11.5,77,1012.2,15.5,NW,0.8,0,0,0.8
19,2010,1,1,18,4,NA,NA,NA,11.8,81,1012.2,15,cv,0,0,0,0
20,2010,1,1,19,4,NA,NA,NA,12.1,84,1012.4,14.8,NE,0.7,0,0,0.7
21,2010,1,1,20,4,NA,NA,NA,12,83,1012.9,14.9,NE,1.6,0,0,0.9000000000000001
22,2010,1,1,21,4,NA,NA,NA,12,83,1013.4,14.9,NW,0.7,0,0,0.7
23,2010,1,1,22,4,NA,NA,NA,12.2,84,1013.7,14.9,NW,1.7,0,0,1.0
24,2010,1,1,23,4,NA,NA,NA,12.2,84,1013.2,14.9,cv,0,0,0,0
25,2010,1,2,0,4,NA,NA,NA,12.2,84,1013.3,14.9,cv,0.5,0,0,0.5
26,2010,1,2,1,4,NA,NA,NA,12.5,88,1013,14.5,NW,0.7,0,0,0.7
27,2010,1,2,2,4,NA,NA,NA,12.4,89,1012.6,14.2,NW,1.6,0.6,0.6,0.9000000000000001
28,2010,1,2,3,4,NA,NA,NA,12.6,92,1011.9,13.9,cv,0,0.5,1.1,0
29,2010,1,2,4,4,NA,NA,NA,12.4,92,1011.9,13.7,NW,1.2,0.1,1.2,1.2
30,2010,1,2,5,4,NA,NA,NA,12.5,92,1011.4,13.8,NW,2.4,0,0,1.2
31,2010,1,2,6,4,NA,NA,NA,12.4,91,1011.3,13.8,cv,0.5,0,0,0.5
32,2010,1,2,7,4,NA,NA,NA,12.6,92,1011.5,13.9,cv,1,0.7,0.7,0.5
33,2010,1,2,8,4,NA,NA,NA,13,93,1011.9,14.1,cv,1.4,0.1,0.8,0.3999999999999999
34,2010,1,2,9,4,NA,NA,NA,13,92,1012.6,14.3,cv,1.8,0.3,1.1,0.40000000000000013
35,2010,1,2,10,4,NA,NA,NA,13.5,92,1013.3,14.8,NW,0.6,0,0,0.6
36,2010,1,2,11,4,NA,NA,NA,13.3,92,1013.8,14.6,NW,2.1,0,0,1.5
37,2010,1,2,12,4,NA,NA,NA,13.2,93,1012.8,14.3,NE,1.2,0.6,0.6,1.2
