,hour,PM_US Post,DEWP,HUMI,PRES,TEMP,precipitation,new_wind,year,month,day,hour_sin,hour_cos,month_sin,month_cos,day_sin,day_cos,season_1,season_2,season_3,season_4,cbwd_NE,cbwd_NW,cbwd_SE,cbwd_SW,cbwd_cv,Weekdays,Weekends
26304,0,129.0,-4.0,64.42,1022.0,2.0,0.0,1.0,2013,1,2,0.0,1.0,0.0,1.0,0.9749279121818236,-0.22252093395631434,0,0,0,1,0,0,0,0,1,1,0
26305,1,135.0,-3.0,80.19,1022.0,0.0,0.0,0.0,2013,1,2,0.25881904510252074,0.9659258262890683,0.0,1.0,0.9749279121818236,-0.22252093395631434,0,0,0,1,0,0,0,0,1,1,0
26316,12,189.0,-5.0,42.1,1020.0,7.0,0.0,2.0,2013,1,2,1.2246467991473532e-16,-1.0,0.0,1.0,0.9749279121818236,-0.22252093395631434,0,0,0,1,1,0,0,0,0,1,0
26317,13,132.0,-9.0,26.99,1018.0,9.0,0.0,1.0,2013,1,2,-0.25881904510252035,-0.9659258262890684,0.0,1.0,0.9749279121818236,-0.22252093395631434,0,0,0,1,0,0,0,1,0,1,0
26318,14,100.0,-8.0,27.29,1017.0,10.0,0.0,1.0,2013,1,2,-0.4999999999999997,-0.8660254037844388,0.0,1.0,0.9749279121818236,-0.22252093395631434,0,0,0,1,0,0,0,1,0,1,0
26319,15,101.0,-7.0,29.48,1015.0,10.0,0.0,2.0,2013,1,2,-0.7071067811865471,-0.7071067811865479,0.0,1.0,0.9749279121818236,-0.22252093395631434,0,0,0,1,1,0,0,0,0,1,0
26320,16,91.0,-7.0,29.48,1015.0,10.0,0.0,2.0,2013,1,2,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0.9749279121818236,-0.22252093395631434,0,0,0,1,1,0,0,0,0,1,0
26321,17,95.0,-7.0,29.48,1014.0,10.0,0.0,1.0,2013,1,2,-0.9659258262890681,-0.2588190451025215,0.0,1.0,0.9749279121818236,-0.22252093395631434,0,0,0,1,0,0,0,0,1,1,0
26322,18,115.0,-5.0,42.1,1014.0,7.0,0.0,1.0,2013,1,2,-1.0,-1.8369701987210297e-16,0.0,1.0,0.9749279121818236,-0.22252093395631434,0,0,0,1,0,0,0,0,1,1,0
26323,19,129.0,-4.0,55.91,1014.0,4.0,0.0,0.0,2013,1,2,-0.9659258262890684,0.2588190451025203,0.0,1.0,0.9749279121818236,-0.22252093395631434,0,0,0,1,0,0,0,0,1,1,0
26324,20,138.0,-4.0,60.0,1015.0,3.0,0.0,0.0,2013,1,2,-0.866025403784439,0.49999999999999933,0.0,1.0,0.9749279121818236,-0.22252093395631434,0,0,0,1,0,0,0,0,1,1,0
26325,21,159.0,-3.0,64.66,1015.0,3.0,0.0,0.0,2013,1,2,-0.7071067811865477,0.7071067811865474,0.0,1.0,0.9749279121818236,-0.22252093395631434,0,0,0,1,0,0,0,0,1,1,0
26326,22,163.0,-3.0,69.43,1015.0,2.0,0.0,1.0,2013,1,2,-0.5000000000000004,0.8660254037844384,0.0,1.0,0.9749279121818236,-0.22252093395631434,0,0,0,1,0,0,0,0,1,1,0
