,hour,PM_US Post,DEWP,HUMI,PRES,TEMP,precipitation,new_wind,year,month,day,hour_sin,hour_cos,month_sin,month_cos,day_sin,day_cos,season_1,season_2,season_3,season_4,cbwd_NE,cbwd_NW,cbwd_SE,cbwd_SW,cbwd_cv,Weekdays,Weekends
28981,13,113.0,-1.0,25.89,1013.0,19.0,0.0,10.0,2013,4,1,-0.25881904510252035,-0.9659258262890684,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,1,0,0,0,0,0,0,1,0,1,0
29001,9,74.0,-6.0,26.11,1012.0,13.0,0.0,7.0,2013,4,2,0.7071067811865476,-0.7071067811865475,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1,0,0,0,0,0,0,1,0,1,0
29002,10,59.0,-5.0,26.4,1012.0,14.0,0.0,5.0,2013,4,2,0.5000000000000003,-0.8660254037844385,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1,0,0,0,0,0,0,1,0,1,0
29003,11,69.0,-4.0,26.69,1011.0,15.0,0.0,6.0,2013,4,2,0.258819045102521,-0.9659258262890682,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1,0,0,0,0,0,0,1,0,1,0
29004,12,78.0,-3.0,26.98,1010.0,16.0,0.0,8.0,2013,4,2,1.2246467991473532e-16,-1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1,0,0,0,0,0,0,1,0,1,0
29005,13,101.0,-4.0,25.04,1010.0,16.0,0.0,7.0,2013,4,2,-0.25881904510252035,-0.9659258262890684,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1,0,0,0,0,0,0,1,0,1,0
29006,14,96.0,0.0,35.87,1009.0,15.0,0.0,7.0,2013,4,2,-0.4999999999999997,-0.8660254037844388,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1,0,0,0,0,0,0,1,0,1,0
29007,15,100.0,2.0,44.2,1009.0,14.0,0.0,6.0,2013,4,2,-0.7071067811865471,-0.7071067811865479,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1,0,0,0,0,0,0,1,0,1,0
29008,16,106.0,2.0,50.36,1010.0,12.0,0.0,5.0,2013,4,2,-0.8660254037844384,-0.5000000000000004,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1,0,0,0,0,0,0,1,0,1,0
29009,17,131.0,4.0,62.0,1010.0,11.0,0.0,5.0,2013,4,2,-0.9659258262890681,-0.2588190451025215,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1,0,0,0,0,0,0,1,0,1,0
29010,18,103.0,6.0,76.18,1011.0,10.0,0.4,2.0,2013,4,2,-1.0,-1.8369701987210297e-16,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1,0,0,0,0,0,0,1,0,1,0
29011,19,101.0,7.0,87.28,1011.0,9.0,0.1,1.0,2013,4,2,-0.9659258262890684,0.2588190451025203,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1,0,0,0,0,0,0,0,1,1,0
29012,20,125.0,7.0,87.28,1012.0,9.0,1.0,2.0,2013,4,2,-0.866025403784439,0.49999999999999933,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1,0,0,0,0,0,0,1,0,1,0
29013,21,154.0,7.0,93.4,1011.0,8.0,0.1,3.0,2013,4,2,-0.7071067811865477,0.7071067811865474,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1,0,0,0,0,0,0,1,0,1,0
29014,22,162.0,7.0,93.4,1011.0,8.0,0.0,3.0,2013,4,2,-0.5000000000000004,0.8660254037844384,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1,0,0,0,0,0,0,1,0,1,0
29015,23,163.0,7.0,93.4,1011.0,8.0,0.0,2.0,2013,4,2,-0.25881904510252157,0.9659258262890681,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1,0,0,0,0,0,0,1,0,1,0
29016,0,128.0,6.0,87.19,1010.0,8.0,0.0,2.0,2013,4,3,0.0,1.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1,0,0,0,0,0,0,1,0,1,0
29017,1,138.0,7.0,93.4,1010.0,8.0,0.0,2.0,2013,4,3,0.25881904510252074,0.9659258262890683,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1,0,0,0,0,0,0,1,0,1,0
29018,2,150.0,6.0,87.19,1010.0,8.0,0.0,2.0,2013,4,3,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1,0,0,0,0,0,0,1,0,1,0
29019,3,148.0,6.0,87.19,1010.0,8.0,0.0,2.0,2013,4,3,0.7071067811865475,0.7071067811865476,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1,0,0,0,0,0,0,1,0,1,0
29020,4,146.0,6.0,93.35,1010.0,7.0,0.0,2.0,2013,4,3,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1,0,0,0,0,0,0,1,0,1,0
29021,5,137.0,6.0,93.35,1009.0,7.0,0.0,2.0,2013,4,3,0.9659258262890682,0.25881904510252096,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1,0,0,0,0,0,0,1,0,1,0
29022,6,131.0,6.0,93.35,1010.0,7.0,0.0,3.0,2013,4,3,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1,0,0,0,0,0,0,1,0,1,0
29023,7,127.0,6.0,87.19,1010.0,8.0,0.0,3.0,2013,4,3,0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1,0,0,0,0,0,0,1,0,1,0
